model,accuracy,precision,recall,f1_score,auc_roc,Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.7077922077922078,0.6046511627906976,0.4814814814814814,0.5360824742268041,0.8066666666666666,,,,,,
,,,,,,DT,0.7987012987012987,0.7446808510638298,0.6481481481481481,0.693069306930693,0.7921296296296296
,,,,,,RF,0.7467532467532467,0.6530612244897959,0.5925925925925926,0.6213592233009708,0.8133333333333334
,,,,,,SVM,0.7207792207792207,0.6341463414634146,0.48148148148148145,0.5473684210526316,0.797037037037037
